epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,20026.1,0.52543,0.28357,0.79393,0.99778,0.99265,0.995,0.85747,0.61944,0.29349,0.78068,0.000367967,0.000367967,0.000367967
77,20285.3,0.52612,0.27696,0.78868,0.99421,0.9989,0.995,0.85601,0.60009,0.28468,0.77803,0.00035382,0.00035382,0.00035382
78,20541.4,0.51451,0.27374,0.78528,0.99649,0.99986,0.995,0.86713,0.59794,0.2853,0.77834,0.000339673,0.000339673,0.000339673
79,20793.7,0.52639,0.27916,0.78539,0.99708,1,0.995,0.86956,0.57549,0.28432,0.77468,0.000325526,0.000325526,0.000325526
80,21050.7,0.51996,0.27146,0.78767,0.99598,0.99988,0.995,0.86941,0.61136,0.27837,0.77875,0.000311379,0.000311379,0.000311379
81,21306.8,0.51701,0.27221,0.78241,0.99674,1,0.995,0.86638,0.61199,0.28562,0.77759,0.000297232,0.000297232,0.000297232
82,21559.5,0.5209,0.27539,0.78888,0.99704,1,0.995,0.86301,0.62829,0.29431,0.77916,0.000283085,0.000283085,0.000283085
83,21813.8,0.52164,0.27373,0.78698,0.99729,1,0.995,0.84717,0.65449,0.29772,0.78223,0.000268938,0.000268938,0.000268938
84,22066.4,0.50949,0.27104,0.7895,0.99729,1,0.995,0.85961,0.63645,0.28927,0.78129,0.000254791,0.000254791,0.000254791
85,22326.6,0.50614,0.27047,0.78228,0.99714,1,0.995,0.85574,0.63044,0.2853,0.77998,0.000240644,0.000240644,0.000240644
86,22587.3,0.50241,0.26335,0.78283,0.99757,1,0.995,0.8671,0.62019,0.29049,0.77931,0.000226497,0.000226497,0.000226497
87,22842.8,0.51546,0.27039,0.78377,0.99711,1,0.995,0.86299,0.63216,0.28029,0.77959,0.000212349,0.000212349,0.000212349
88,23103.3,0.49889,0.26265,0.78319,0.99729,1,0.995,0.86354,0.64511,0.28968,0.77967,0.000198202,0.000198202,0.000198202
89,23355.1,0.51569,0.26658,0.78638,0.99715,1,0.995,0.87007,0.60775,0.27718,0.77701,0.000184055,0.000184055,0.000184055
90,23610.3,0.49097,0.25814,0.78156,0.99768,1,0.995,0.85705,0.62711,0.28471,0.77918,0.000169908,0.000169908,0.000169908
91,23870.9,0.48871,0.25699,0.7778,0.99789,1,0.995,0.85728,0.59706,0.28321,0.77667,0.000155761,0.000155761,0.000155761
92,24127.8,0.49172,0.26038,0.78122,0.99666,1,0.995,0.86376,0.59121,0.27469,0.77774,0.000141614,0.000141614,0.000141614
93,24390.2,0.46824,0.24637,0.77885,0.99665,1,0.995,0.8648,0.60142,0.28432,0.77617,0.000127467,0.000127467,0.000127467
94,24651.2,0.46591,0.24293,0.77922,0.99506,0.99871,0.995,0.86044,0.62417,0.28925,0.77914,0.00011332,0.00011332,0.00011332
95,24921.4,0.46367,0.24374,0.78469,0.98879,0.99887,0.995,0.86272,0.62602,0.2801,0.78177,9.91726e-05,9.91726e-05,9.91726e-05
96,25177.5,0.46675,0.24332,0.77602,0.99348,0.9945,0.995,0.86149,0.61101,0.27971,0.78004,8.50255e-05,8.50255e-05,8.50255e-05
97,25428.3,0.45932,0.23991,0.77561,0.99381,0.99696,0.995,0.85614,0.63944,0.28824,0.78318,7.08784e-05,7.08784e-05,7.08784e-05
98,25683.3,0.45894,0.23943,0.77913,0.99413,0.99808,0.995,0.86419,0.6133,0.28266,0.78005,5.67313e-05,5.67313e-05,5.67313e-05
99,25935.6,0.46012,0.23941,0.77708,0.99424,0.99855,0.995,0.86125,0.618,0.27867,0.77934,4.25842e-05,4.25842e-05,4.25842e-05
100,26186.7,0.4501,0.24065,0.77089,0.99445,0.99819,0.995,0.86559,0.61076,0.277,0.77863,2.84371e-05,2.84371e-05,2.84371e-05
